Data sets,AdaBoost.NC-C,C45-C,Ripper-C,SIA-C,GFS-GCCL-C,Chi-RW-C,iRProp+-c
bupa,0.8888712948,0.8588887296,0.8595852374,1,0.5999858288,0.5987037249,0.735583307
cleveland,0.6520983632,0.8305207032,0.8200435419,1,0.5667956505,0.9139676423,0.6681685244
glass,0.6661449733,0.9371804036,0.9077588163,1,0.6854301106,0.659897225,0.6000364304
haberman,0.7941396574,0.7585177866,0.5689459816,0.974944664,0.7385638999,0.7425546772,0.7723227931
iris,0.6666666667,0.98,0.9466666667,1,0.9577777778,0.9377777778,0.9762962963
monk2,1,1,1,0.6127404703,0.9722272853,0.9724856798,0.9794045317
new-thyroid,0.8599487207,0.9844986913,0.9927648096,1,0.8749452487,0.8594359276,0.9312643555
pima,0.9186947065,0.8381056819,0.8504096379,1,0.6976281338,0.7521719218,0.7748853005
vehicle,0.4841081461,0.9055718232,0.8794465081,1,0.6201682411,0.6591842823,0.7407407024
wine,0.7297166149,0.988761646,0.998136646,1,0.9769060559,0.988140528,1
wisconsin,0.9907306085,0.9812959722,0.9837358005,0.9985347264,0.9762505403,0.9803187761,0.9816187955
